apple,elma
arm,kol
art,sanat
bus,otobüs
book,kitap
ball,top
cat,kedi
car,araba
chair,sandalye
dog,köpek
door,kapı
desk,masa
ear,kulak
eye,göz
egg,yumurta
fish,balık
fire,ateş
face,yüz
game,oyun
green,yeşil
girl,kız
house,ev
hand,el
heart,kalp
ice,buz
idea,fikir
iron,demir
jump,zıplamak
job,iş
juice,meyve suyu
key,anahtar
kind,nazik
king,kral
love,aşk
light,ışık
lake,göl
music,müzik
moon,ay
money,para
nature,doğa
night,gece
name,isim
ocean,okyanus
open,açmak
oil,yağ
peace,barış
paper,kağıt
park,park
queen,kraliçe
quick,hızlı
quiet,sessiz
river,nehir
road,yol
red,kırmızı
sun,güneş
star,yıldız
sea,deniz
tree,ağaç
table,masa
time,zaman
umbrella,şemsiye
under,altında
up,yukarı
voice,ses
very,çok
water,su
window,pencere
white,beyaz
world,dünya
extra,ekstra
exit,çıkış
exam,sınav
year,yıl
young,genç
yellow,sarı
zero,sıfır
zoo,hayvanat bahçesi
zone,bölge
